cx_name,cx_price
宝来,9.88-15.60万
朗逸,9.99-16.19万
速腾,12.89-19.19万
桑塔纳,8.69-11.59万
迈腾,18.61-30.99万
探岳,18.59-31.39万
高尔夫,14.13-23.42万
凌渡,14.29-19.69万
途岳,16.58-22.38万
帕萨特,18.49-28.29万
途观L,21.88-31.18万
途昂,29.99-50.59万
途铠,11.49-15.99万
探歌,13.58-20.38万
一汽-大众CC,24.68-30.18万
途观,19.48-23.18万
探影,11.49-15.99万
探岳X,23.58-29.58万
Polo,9.99-12.39万
途昂X,28.99-43.99万
宝来,9.88-15.60万
朗逸,9.99-16.19万
速腾,12.89-19.19万
桑塔纳,8.69-11.59万
迈腾,18.61-30.99万
探岳,18.59-31.39万
高尔夫,14.13-23.42万
凌渡,14.29-19.69万
途岳,16.58-22.38万
帕萨特,18.49-28.29万
途观L,21.88-31.18万
途昂,29.99-50.59万
途铠,11.49-15.99万
探歌,13.58-20.38万
一汽-大众CC,24.68-30.18万
途观,19.48-23.18万
探影,11.49-15.99万
探岳X,23.58-29.58万
Polo,9.99-12.39万
途昂X,28.99-43.99万
宝来,9.88-15.60万
朗逸,9.99-16.19万
速腾,12.89-19.19万
桑塔纳,8.69-11.59万
迈腾,18.61-30.99万
探岳,18.59-31.39万
高尔夫,14.13-23.42万
凌渡,14.29-19.69万
途岳,16.58-22.38万
帕萨特,18.49-28.29万
途观L,21.88-31.18万
途昂,29.99-50.59万
途铠,11.49-15.99万
探歌,13.58-20.38万
一汽-大众CC,24.68-30.18万
途观,19.48-23.18万
探影,11.49-15.99万
探岳X,23.58-29.58万
Polo,9.99-12.39万
途昂X,28.99-43.99万
